NUMBER, DRIVER_NUMBER, LAP_NUMBER,LAP_TIME, LAP_IMPROVEMENT, CROSSING_FINISH_LINE_IN_PIT, S1, S1_IMPROVEMENT, S2, S2_IMPROVEMENT, S3, S3_IMPROVEMENT, KPH, ELAPSED, HOUR,S1_LARGE,S2_LARGE,S3_LARGE,DRIVER_NAME,PIT_TIME,GROUP,TEAM,POWER,LOCATION,EVENT
13,1,4,103,2,,25.544,2,33.219,2,42.322,2,120.4,08:06.2,23:06.2,00:25.5,00:33.2,00:42.3,ACO,,,DSo,,Location 2,Free Practice 2
13,1,5,78,0,B,39.51,0,45.266,0,58.077,0,85.2,10:29.1,25:29.1,00:39.5,00:45.3,00:58.1,ACO,,,DSo,,Location 2,Free Practice 2
17,1,1,106,0,,52.884,0,41.444,0,55.136,0,81.4,02:29.5,17:29.5,00:52.9,00:41.4,00:55.1,NVR,00:20.3,,ME,235.0,Location 2,Free Practice 2
17,1,2,118,2,,25.313,2,32.681,2,41.715,2,122.0,04:09.2,19:09.2,00:25.3,00:32.7,00:41.7,NVR,,,ME,250.0,Location 2,Free Practice 2
17,1,3,92,0,,35.204,0,40.576,0,50.211,0,96.6,06:15.2,21:15.2,00:35.2,00:40.6,00:50.2,NVR,,,ME,235.0,Location 2,Free Practice 2
17,1,4,89,0,,26.527,0,34.53,0,43.179,0,116.7,07:59.4,22:59.4,00:26.5,00:34.5,00:43.2,NVR,,,ME,,Location 2,Free Practice 2
17,1,5,80,0,,26.387,0,34.474,0,43.214,0,116.9,09:43.5,24:43.5,00:26.4,00:34.5,00:43.2,NVR,,,ME,,Location 2,Free Practice 2
17,1,6,82,0,B,26.494,0,01:03.1,0,01:26.7,0,69.0,12:39.8,27:39.8,00:26.5,01:03.1,01:26.7,NVR,,,ME,,Location 2,Free Practice 2
20,1,1,88,0,,01:10.2,0,39.722,0,52.226,0,75.0,02:42.2,17:42.2,01:10.2,00:39.7,00:52.2,MEV,00:35.9,,JE,,Location 2,Free Practice 2
20,1,2,105,0,,27.844,0,35.704,0,46.69,0,110.4,04:32.4,19:32.4,00:27.8,00:35.7,00:46.7,MEV,,,JE,235.0,Location 2,Free Practice 2
20,1,3,104,2,,25.129,2,32.851,2,42.252,2,121.4,06:12.6,21:12.6,00:25.1,00:32.9,00:42.3,MEV,,,JE,235.0,Location 2,Free Practice 2
20,1,4,94,0,,25.674,0,39.811,0,52.02,0,103.6,08:10.1,23:10.1,00:25.7,00:39.8,00:52.0,MEV,,,JE,235.0,Location 2,Free Practice 2
20,1,5,76,0,,25.65,0,33.659,0,42.323,0,119.7,09:51.8,24:51.8,00:25.6,00:33.7,00:42.3,MEV,,,JE,,Location 2,Free Practice 2
20,1,6,104,0,B,28.472,0,01:23.9,0,01:27.3,0,60.9,13:11.4,28:11.4,00:28.5,01:23.9,01:27.3,MEV,,,JE,,Location 2,Free Practice 2
22,1,1,75,0,,47.409,0,42.337,0,49.873,0,87.2,02:19.6,17:19.6,00:47.4,00:42.3,00:49.9,OROWL,00:15.8,,N ,,Location 2,Free Practice 2
22,1,2,71,0,,27.728,0,38.179,0,49.605,0,105.3,04:15.1,19:15.1,00:27.7,00:38.2,00:49.6,OROWL,,,N ,235.0,Location 2,Free Practice 2
22,1,3,123,2,,25.435,2,32.779,2,41.71,2,121.8,05:55.1,20:55.1,00:25.4,00:32.8,00:41.7,OROWL,,,N ,250.0,Location 2,Free Practice 2
22,1,4,102,0,,26.8,0,34.862,0,43.911,0,115.3,07:40.6,22:40.6,00:26.8,00:34.9,00:43.9,OROWL,,,N ,235.0,Location 2,Free Practice 2
22,1,5,92,0,,26.84,0,34.796,0,43.534,0,115.7,09:25.8,24:25.8,00:26.8,00:34.8,00:43.5,OROWL,,,N ,,Location 2,Free Practice 2
22,1,6,182,0,B,26.77,0,42.221,0,01:27.5,0,77.8,12:02.3,27:02.3,00:26.8,00:42.2,01:27.5,OROWL,,,N ,,Location 2,Free Practice 2
23,1,1,93,0,,47.908,0,42.489,0,49.993,0,86.7,02:20.4,17:20.4,00:47.9,00:42.5,00:50.0,SBU,00:15.1,,Nt,,Location 2,Free Practice 2
23,1,2,76,0,,28.067,0,38.914,0,48.497,0,105.4,04:15.9,19:15.9,00:28.1,00:38.9,00:48.5,SBU,,,Nt,,Location 2,Free Practice 2
23,1,3,72,2,,25.808,2,33.371,2,42.372,2,119.8,05:57.4,20:57.4,00:25.8,00:33.4,00:42.4,SBU,,,Nt,,Location 2,Free Practice 2
23,1,4,92,0,,26.1,0,40.655,0,47.849,0,106.2,07:52.0,22:52.0,00:26.1,00:40.7,00:47.8,SBU,,,Nt,,Location 2,Free Practice 2
23,1,5,89,0,,25.814,0,33.602,0,42.678,0,119.2,09:34.1,24:34.1,00:25.8,00:33.6,00:42.7,SBU,,,Nt,,Location 2,Free Practice 2
23,1,6,69,0,B,28.306,0,47.811,0,01:26.6,0,74.8,12:16.8,27:16.8,00:28.3,00:47.8,01:26.6,SBU,,,Nt,,Location 2,Free Practice 2
28,1,1,102,0,,02:04.0,0,36.698,0,46.196,0,58.8,03:26.9,18:26.9,02:04.0,00:36.7,00:46.2,MNT,01:31.6,,BMWl,235.0,Location 2,Free Practice 2
28,1,2,108,3,,25.134,2,32.772,2,41.611,3,122.3,05:06.4,20:06.4,00:25.1,00:32.8,00:41.6,MNT,,,BMWl,250.0,Location 2,Free Practice 2
28,1,3,69,0,,25.42,0,33.683,0,42.495,0,119.8,06:48.0,21:48.0,00:25.4,00:33.7,00:42.5,MNT,,,BMWl,235.0,Location 2,Free Practice 2
28,1,4,130,0,,32.472,0,44.432,0,50.576,0,95.5,08:55.5,23:55.5,00:32.5,00:44.4,00:50.6,MNT,,,BMWl,,Location 2,Free Practice 2
28,1,5,99,0,B,25.844,0,33.574,0,01:02.3,0,99.9,10:57.3,25:57.3,00:25.8,00:33.6,01:02.3,MNT,,,BMWl,,Location 2,Free Practice 2
29,1,1,98,0,,01:28.6,0,37.041,0,45.745,0,71.0,02:51.4,17:51.4,01:28.6,00:37.0,00:45.7,AS,00:57.8,,MAHINDRAd,,Location 2,Free Practice 2
29,1,2,69,0,,27.756,0,36.923,0,47.285,0,108.7,04:43.3,19:43.3,00:27.8,00:36.9,00:47.3,AS,,,MAHINDRAd,,Location 2,Free Practice 2
29,1,3,71,2,,26.204,2,33.651,2,43.407,0,117.8,06:26.6,21:26.6,00:26.2,00:33.7,00:43.4,AS,,,MAHINDRAd,,Location 2,Free Practice 2
29,1,4,93,0,,26.983,0,34.723,0,43.658,0,115.5,08:11.9,23:11.9,00:27.0,00:34.7,00:43.7,AS,,,MAHINDRAd,,Location 2,Free Practice 2
29,1,5,98,0,,26.633,0,34.779,0,43.317,2,116.2,09:56.7,24:56.7,00:26.6,00:34.8,00:43.3,AS,,,MAHINDRAd,,Location 2,Free Practice 2
29,1,6,80,0,B,36.344,0,01:22.7,0,01:26.9,0,59.1,13:22.6,28:22.6,00:36.3,01:22.7,01:26.9,AS,,,MAHINDRAd,,Location 2,Free Practice 2
33,1,1,77,0,,01:07.0,0,38.091,0,56.223,0,75.4,02:41.3,17:41.3,01:07.0,00:38.1,00:56.2,RR,00:34.5,,AR,,Location 2,Free Practice 2
33,1,2,69,0,,26.736,0,34.319,0,43.846,0,116.0,04:26.2,19:26.2,00:26.7,00:34.3,00:43.8,RR,,,AR,,Location 2,Free Practice 2
33,1,3,85,0,,26.681,0,34.394,0,43.297,0,116.6,06:10.6,21:10.6,00:26.7,00:34.4,00:43.3,RR,,,AR,,Location 2,Free Practice 2
33,1,4,48,2,,25.924,0,33.538,2,42.565,2,119.3,07:52.6,22:52.6,00:25.9,00:33.5,00:42.6,RR,,,AR,,Location 2,Free Practice 2
33,1,5,68,0,B,25.873,2,35.225,0,51.47,0,108.1,09:45.2,24:45.2,00:25.9,00:35.2,00:51.5,RR,,,AR,,Location 2,Free Practice 2
36,1,1,145,0,,05:50.5,0,36.644,0,44.646,2,28.2,07:11.7,22:11.7,05:50.5,00:36.6,00:44.6,ALOTTE,05:19.4,,TAG ,,Location 2,Free Practice 2
36,1,2,71,2,,26.994,0,34.866,0,49.239,0,109.5,09:02.8,24:02.8,00:27.0,00:34.9,00:49.2,ALOTTE,,,TAG ,235.0,Location 2,Free Practice 2
36,1,3,110,0,B,25.14,2,32.7,2,01:04.9,0,99.1,11:05.6,26:05.6,00:25.1,00:32.7,01:04.9,ALOTTE,,,TAG ,250.0,Location 2,Free Practice 2
37,1,1,71,0,,01:01.5,0,39.813,0,54.778,0,77.9,02:36.1,17:36.1,01:01.5,00:39.8,00:54.8,N,00:27.5,,EA,235.0,Location 2,Free Practice 2
37,1,2,93,2,,25.202,2,32.676,2,42.164,2,121.6,04:16.2,19:16.2,00:25.2,00:32.7,00:42.2,N,,,EA,235.0,Location 2,Free Practice 2
37,1,3,97,0,B,26.422,0,36.258,0,50.415,0,107.6,06:09.2,21:09.2,00:26.4,00:36.3,00:50.4,N,,,EA,,Location 2,Free Practice 2
4,1,1,105,0,,01:03.3,0,39.207,0,55.895,0,76.8,02:38.4,17:38.4,01:03.3,00:39.2,00:55.9,RFRI,00:31.6,,EF,,Location 2,Free Practice 2
4,1,2,77,2,,25.889,0,44.821,0,45.447,2,104.8,04:34.5,19:34.5,00:25.9,00:44.8,00:45.4,RFRI,,,EF,,Location 2,Free Practice 2
4,1,3,72,0,B,25.712,2,33.65,2,46.719,0,114.7,06:20.6,21:20.6,00:25.7,00:33.6,00:46.7,RFRI,,,EF,,Location 2,Free Practice 2
4,1,4,89,0,B,04:36.4,0,01:23.2,0,01:27.0,0,27.3,13:47.1,28:47.1,04:36.4,01:23.2,01:27.0,RFRI,03:42.8,,EF,,Location 2,Free Practice 2
48,1,1,68,0,,01:12.4,0,38.509,0,54.387,0,73.6,02:45.3,17:45.3,01:12.4,00:38.5,00:54.4,EMORT,00:40.4,,ROKo,,Location 2,Free Practice 2
48,1,2,81,0,,27.004,0,36.045,0,44.677,0,113.0,04:33.0,19:33.0,00:27.0,00:36.0,00:44.7,EMORT,,,ROKo,,Location 2,Free Practice 2
48,1,3,69,0,,26.513,0,35.573,0,44.018,0,114.7,06:19.1,21:19.1,00:26.5,00:35.6,00:44.0,EMORT,,,ROKo,,Location 2,Free Practice 2
48,1,4,115,2,,26.337,2,34.743,2,43.282,2,116.6,08:03.4,23:03.4,00:26.3,00:34.7,00:43.3,EMORT,,,ROKo,,Location 2,Free Practice 2
48,1,5,93,0,,29.036,0,40.546,0,51.842,0,100.2,10:04.9,25:04.9,00:29.0,00:40.5,00:51.8,EMORT,,,ROKo,,Location 2,Free Practice 2
48,1,6,112,0,B,49.813,0,01:22.6,0,01:26.9,0,55.5,13:44.2,28:44.2,00:49.8,01:22.6,01:26.9,EMORT,,,ROKo,,Location 2,Free Practice 2
5,1,1,114,0,,54.776,0,42.41,0,55.797,0,79.5,02:33.0,17:33.0,00:54.8,00:42.4,00:55.8,SVANDOO,00:23.0,,Ml,235.0,Location 2,Free Practice 2
5,1,2,100,2,,25.197,2,32.605,3,42.098,2,121.8,04:12.9,19:12.9,00:25.2,00:32.6,00:42.1,SVANDOO,,,Ml,250.0,Location 2,Free Practice 2
5,1,3,84,0,,34.31,0,39.865,0,51.36,0,96.9,06:18.4,21:18.4,00:34.3,00:39.9,00:51.4,SVANDOO,,,Ml,235.0,Location 2,Free Practice 2
5,1,4,156,0,,26.366,0,34.156,0,42.992,0,117.5,08:01.9,23:01.9,00:26.4,00:34.2,00:43.0,SVANDOO,,,Ml,,Location 2,Free Practice 2
5,1,5,89,0,,26.431,0,34.063,0,42.986,0,117.6,09:45.4,24:45.4,00:26.4,00:34.1,00:43.0,SVANDOO,,,Ml,,Location 2,Free Practice 2
5,1,6,92,0,B,26.486,0,01:12.3,0,01:26.3,0,65.7,12:50.5,27:50.5,00:26.5,01:12.3,01:26.3,SVANDOO,,,Ml,,Location 2,Free Practice 2
6,1,1,71,0,,01:37.1,0,37.607,0,49.919,0,65.9,03:04.6,18:04.6,01:37.1,00:37.6,00:49.9,NL,01:06.5,,DRAGONÃ,235.0,Location 2,Free Practice 2
6,1,2,83,2,,25.378,2,32.715,2,41.868,2,121.7,04:44.6,19:44.6,00:25.4,00:32.7,00:41.9,NL,,,DRAGONÃ,250.0,Location 2,Free Practice 2
6,1,3,105,0,,26.526,0,34.584,0,47.847,0,111.7,06:33.5,21:33.5,00:26.5,00:34.6,00:47.8,NL,,,DRAGONÃ,235.0,Location 2,Free Practice 2
6,1,4,87,0,,26.642,0,34.251,0,44.425,0,115.5,08:18.8,23:18.8,00:26.6,00:34.3,00:44.4,NL,,,DRAGONÃ,,Location 2,Free Practice 2
6,1,5,74,0,B,26.757,0,34.143,0,51.422,0,108.3,10:11.2,25:11.2,00:26.8,00:34.1,00:51.4,NL,,,DRAGONÃ,,Location 2,Free Practice 2
7,1,1,74,0,,01:27.5,0,37.47,0,52.594,0,68.5,02:57.6,17:57.6,01:27.5,00:37.5,00:52.6,SM,00:57.2,,DRAGONo,235.0,Location 2,Free Practice 2
7,1,2,89,2,,25.102,2,34.359,2,42.463,2,119.4,04:39.5,19:39.5,00:25.1,00:34.4,00:42.5,SM,,,DRAGONo,235.0,Location 2,Free Practice 2
7,1,3,113,0,,27.69,0,34.514,0,44.288,0,114.3,06:26.0,21:26.0,00:27.7,00:34.5,00:44.3,SM,,,DRAGONo,,Location 2,Free Practice 2
7,1,4,95,0,,36.833,0,35.367,0,44.446,0,104.3,08:22.6,23:22.6,00:36.8,00:35.4,00:44.4,SM,,,DRAGONo,,Location 2,Free Practice 2
7,1,5,96,0,,26.928,0,34.422,0,44.154,0,115.3,10:08.1,25:08.1,00:26.9,00:34.4,00:44.2,SM,,,DRAGONo,,Location 2,Free Practice 2
7,1,6,68,0,B,51.988,0,01:22.9,0,01:29.4,0,54.2,13:52.4,28:52.4,00:52.0,01:22.9,01:29.4,SM,,,DRAGONo,,Location 2,Free Practice 2
71,1,1,108,0,,01:17.0,0,40.602,0,52.923,0,71.4,02:50.5,17:50.5,01:17.0,00:40.6,00:52.9,NN,00:43.0,,ROK ,,Location 2,Free Practice 2
71,1,2,70,0,,26.354,0,38.472,0,45.154,0,110.6,04:40.5,19:40.5,00:26.4,00:38.5,00:45.2,NN,,,ROK ,,Location 2,Free Practice 2
71,1,3,100,0,,27.315,0,35.671,0,56.431,0,101.9,06:39.9,21:39.9,00:27.3,00:35.7,00:56.4,NN,,,ROK ,,Location 2,Free Practice 2
71,1,4,90,2,,26.173,2,33.681,2,43.423,2,117.8,08:23.2,23:23.2,00:26.2,00:33.7,00:43.4,NN,,,ROK ,,Location 2,Free Practice 2
71,1,5,109,0,B,38.399,0,41.42,0,57.022,0,88.9,10:40.0,25:40.0,00:38.4,00:41.4,00:57.0,NN,,,ROK ,,Location 2,Free Practice 2
94,1,1,109,0,,01:11.5,0,40.312,0,56.205,0,72.4,02:48.0,17:48.0,01:11.5,00:40.3,00:56.2,AL,00:38.5,,MAHINDRAd,,Location 2,Free Practice 2
94,1,2,147,0,,27.113,0,35.777,0,46.182,0,111.6,04:37.0,19:37.0,00:27.1,00:35.8,00:46.2,AL,,,MAHINDRAd,,Location 2,Free Practice 2
94,1,3,73,0,,26.837,0,34.426,0,43.261,0,116.4,06:21.6,21:21.6,00:26.8,00:34.4,00:43.3,AL,,,MAHINDRAd,,Location 2,Free Practice 2
94,1,4,71,0,,33.196,0,37.643,0,45.821,0,104.3,08:18.2,23:18.2,00:33.2,00:37.6,00:45.8,AL,,,MAHINDRAd,,Location 2,Free Practice 2
94,1,5,88,2,,26.446,2,33.711,2,42.449,2,118.6,10:00.8,25:00.8,00:26.4,00:33.7,00:42.4,AL,,,MAHINDRAd,,Location 2,Free Practice 2
94,1,6,102,0,B,43.267,0,01:22.6,0,01:26.2,0,57.4,13:32.9,28:32.9,00:43.3,01:22.6,01:26.2,AL,,,MAHINDRAd,,Location 2,Free Practice 2
99,1,1,88,0,,01:34.3,0,36.649,0,47.722,0,68.1,02:58.7,17:58.7,01:34.3,00:36.6,00:47.7,PWEHRL,01:00.8,,TAG ,,Location 2,Free Practice 2
99,1,2,97,0,,28.179,0,37.287,0,45.969,0,109.2,04:50.1,19:50.1,00:28.2,00:37.3,00:46.0,PWEHRL,,,TAG ,235.0,Location 2,Free Practice 2
99,1,3,94,2,,25.051,3,32.737,2,42.742,2,121.0,06:30.7,21:30.7,00:25.1,00:32.7,00:42.7,PWEHRL,,,TAG ,235.0,Location 2,Free Practice 2
99,1,4,102,0,,28.819,0,38.482,0,52.421,0,101.6,08:30.4,23:30.4,00:28.8,00:38.5,00:52.4,PWEHRL,,,TAG ,,Location 2,Free Practice 2
99,1,5,77,0,,26.373,0,34.399,0,45.036,0,115.0,10:16.2,25:16.2,00:26.4,00:34.4,00:45.0,PWEHRL,,,TAG ,,Location 2,Free Practice 2
99,1,6,96,0,B,01:13.2,0,01:23.5,0,01:32.7,0,48.8,14:25.6,29:25.6,01:13.2,01:23.5,01:32.7,PWEHRL,,,TAG ,,Location 2,Free Practice 2
10,1,1,99,0,,02:27.9,0,35.128,0,52.901,0,51.6,03:56.0,03:56.0,02:27.9,00:35.1,00:52.9,SB,01:59.4,1.0,JR,250.0,Location 2,Qualifying Group 1
10,1,2,68,2,,24.974,2,32.717,2,41.752,2,122.4,05:35.4,05:35.4,00:25.0,00:32.7,00:41.8,SB,,1.0,JR,250.0,Location 2,Qualifying Group 1
13,1,1,77,0,,02:24.9,0,37.023,0,50.36,0,52.4,03:52.2,03:52.2,02:24.9,00:37.0,00:50.4,ACO,01:53.0,1.0,DSo,250.0,Location 2,Qualifying Group 1
13,1,2,86,2,,25.023,2,32.296,4,42.76,2,121.6,05:32.3,05:32.3,00:25.0,00:32.3,00:42.8,ACO,,1.0,DSo,250.0,Location 2,Qualifying Group 1
17,1,1,84,0,,02:21.1,0,37.22,0,46.851,0,54.0,03:45.2,03:45.2,02:21.1,00:37.2,00:46.9,NVR,01:51.3,1.0,ME,250.0,Location 2,Qualifying Group 1
17,1,2,125,2,,24.921,2,32.603,2,41.638,2,122.7,05:24.4,05:24.4,00:24.9,00:32.6,00:41.6,NVR,,1.0,ME,250.0,Location 2,Qualifying Group 1
20,1,1,130,0,,02:25.2,0,37.102,0,48.215,0,52.8,03:50.5,03:50.5,02:25.2,00:37.1,00:48.2,MEV,01:55.5,1.0,JE,250.0,Location 2,Qualifying Group 1
20,1,2,92,2,,25.242,2,32.802,2,41.61,4,122.1,05:30.2,05:30.2,00:25.2,00:32.8,00:41.6,MEV,,1.0,JE,250.0,Location 2,Qualifying Group 1
4,1,1,88,0,,34.597,0,37.034,0,45.265,0,104.1,01:56.9,01:56.9,00:34.6,00:37.0,00:45.3,RFRI,00:04.4,1.0,EF,,Location 2,Qualifying Group 1
4,1,2,73,0,,29.005,0,36.885,0,51.52,0,103.6,03:54.3,03:54.3,00:29.0,00:36.9,00:51.5,RFRI,,1.0,EF,250.0,Location 2,Qualifying Group 1
4,1,3,88,4,,24.785,4,32.498,2,41.798,2,122.8,05:33.4,05:33.4,00:24.8,00:32.5,00:41.8,RFRI,,1.0,EF,250.0,Location 2,Qualifying Group 1
48,1,1,108,0,B,02:50.0,0,37.207,2,54.164,0,46.6,04:21.4,04:21.4,02:50.0,00:37.2,00:54.2,EMORT,02:20.2,1.0,ROKo,250.0,Location 2,Qualifying Group 1
10,1,1,146,0,,01:04.7,0,41.153,0,49.798,0,78.2,02:35.7,02:35.7,01:04.7,00:41.2,00:49.8,SB,00:30.5,,JR,,Location 2,Free Practice 1
10,1,2,71,0,,28.125,0,35.862,0,52.616,0,104.4,04:32.3,04:32.3,00:28.1,00:35.9,00:52.6,SB,,,JR,,Location 2,Free Practice 1
10,1,3,92,0,,53.661,0,37.201,0,46.38,0,88.7,06:49.5,06:49.5,00:53.7,00:37.2,00:46.4,SB,,,JR,,Location 2,Free Practice 1
10,1,4,103,0,,26.989,0,34.77,0,44.201,0,114.8,08:35.5,08:35.5,00:27.0,00:34.8,00:44.2,SB,,,JR,,Location 2,Free Practice 1
10,1,5,116,0,,26.748,0,34.676,0,45.539,0,113.8,10:22.4,10:22.4,00:26.7,00:34.7,00:45.5,SB,,,JR,,Location 2,Free Practice 1
10,1,6,83,0,,26.878,0,34.364,0,43.475,0,116.2,12:07.1,12:07.1,00:26.9,00:34.4,00:43.5,SB,,,JR,,Location 2,Free Practice 1
10,1,7,92,0,,37.224,0,41.317,0,56.497,0,90.1,14:22.2,14:22.2,00:37.2,00:41.3,00:56.5,SB,,,JR,,Location 2,Free Practice 1
10,1,8,74,0,,26.15,0,38.146,0,58.823,0,98.8,16:25.3,16:25.3,00:26.1,00:38.1,00:58.8,SB,,,JR,,Location 2,Free Practice 1
10,1,9,122,0,,25.883,0,33.711,0,42.525,0,119.2,18:07.4,18:07.4,00:25.9,00:33.7,00:42.5,SB,,,JR,,Location 2,Free Practice 1
10,1,10,102,0,,33.052,0,46.144,0,58.862,0,88.1,20:25.5,20:25.5,00:33.1,00:46.1,00:58.9,SB,,,JR,,Location 2,Free Practice 1
10,1,11,87,0,,25.77,0,33.631,0,42.296,0,119.6,22:07.2,22:07.2,00:25.8,00:33.6,00:42.3,SB,,,JR,,Location 2,Free Practice 1
10,1,12,68,0,B,26.73,0,34.226,0,47.631,0,112.1,23:55.8,23:55.8,00:26.7,00:34.2,00:47.6,SB,,,JR,,Location 2,Free Practice 1
10,1,13,134,0,,07:23.6,0,36.819,0,45.402,0,23.1,32:41.6,32:41.6,07:23.6,00:36.8,00:45.4,SB,06:53.0,,JR,,Location 2,Free Practice 1
10,1,14,90,0,,27.374,0,35.529,0,47.4,0,110.3,34:31.9,34:31.9,00:27.4,00:35.5,00:47.4,SB,,,JR,235.0,Location 2,Free Practice 1
10,1,15,147,0,B,25.006,0,49.064,0,01:27.7,0,75.2,37:13.7,37:13.7,00:25.0,00:49.1,01:27.7,SB,,,JR,235.0,Location 2,Free Practice 1
10,1,16,86,0,,03:53.0,0,35.054,0,44.718,0,38.9,42:26.5,42:26.5,03:53.0,00:35.1,00:44.7,SB,03:25.3,,JR,250.0,Location 2,Free Practice 1
10,1,17,121,2,,24.76,2,32.773,2,41.737,2,122.6,44:05.8,44:05.8,00:24.8,00:32.8,00:41.7,SB,,,JR,250.0,Location 2,Free Practice 1
10,1,18,120,0,,35.425,0,48.441,0,44.138,0,95.1,46:13.8,46:13.8,00:35.4,00:48.4,00:44.1,SB,,,JR,,Location 2,Free Practice 1
11,1,1,101,0,,01:02.5,0,41.635,0,50.392,0,78.7,02:34.6,02:34.6,01:02.5,00:41.6,00:50.4,LGRA,00:27.9,,AD,,Location 2,Free Practice 1
11,1,2,71,0,,28.002,0,36.32,0,52.071,0,104.5,04:31.0,04:31.0,00:28.0,00:36.3,00:52.1,LGRA,,,AD,,Location 2,Free Practice 1
11,1,3,76,0,,54.282,0,36.227,0,47.551,0,88.1,06:49.0,06:49.0,00:54.3,00:36.2,00:47.6,LGRA,,,AD,,Location 2,Free Practice 1
11,1,4,85,0,,27.013,0,34.875,0,44.095,0,114.8,08:35.0,08:35.0,00:27.0,00:34.9,00:44.1,LGRA,,,AD,,Location 2,Free Practice 1
11,1,5,89,0,,26.879,0,34.572,0,43.625,0,115.8,10:20.1,10:20.1,00:26.9,00:34.6,00:43.6,LGRA,,,AD,,Location 2,Free Practice 1
11,1,6,101,0,,26.714,0,34.919,0,44.243,0,114.9,12:06.0,12:06.0,00:26.7,00:34.9,00:44.2,LGRA,,,AD,,Location 2,Free Practice 1
11,1,7,74,0,,32.381,0,37.18,0,47.458,0,104.0,14:03.0,14:03.0,00:32.4,00:37.2,00:47.5,LGRA,,,AD,,Location 2,Free Practice 1
11,1,8,98,0,,26.86,0,34.771,0,54.937,0,104.4,15:59.6,15:59.6,00:26.9,00:34.8,00:54.9,LGRA,,,AD,,Location 2,Free Practice 1
11,1,9,123,0,,26.29,0,33.954,0,42.901,0,118.0,17:42.7,17:42.7,00:26.3,00:34.0,00:42.9,LGRA,,,AD,,Location 2,Free Practice 1
11,1,10,73,0,,26.21,0,33.851,0,42.674,0,118.4,19:25.4,19:25.4,00:26.2,00:33.9,00:42.7,LGRA,,,AD,,Location 2,Free Practice 1
11,1,11,149,0,B,26.519,0,34.141,0,53.237,0,106.8,21:19.3,21:19.3,00:26.5,00:34.1,00:53.2,LGRA,,,AD,,Location 2,Free Practice 1
11,1,12,188,0,,07:09.8,0,34.665,0,43.988,0,23.9,29:47.8,29:47.8,07:09.8,00:34.7,00:44.0,LGRA,06:40.4,,AD,,Location 2,Free Practice 1
11,1,13,100,0,,26.295,0,33.956,0,48.986,0,111.4,31:37.1,31:37.1,00:26.3,00:34.0,00:49.0,LGRA,,,AD,235.0,Location 2,Free Practice 1
11,1,14,94,0,,25.412,0,32.752,0,41.738,0,121.8,33:17.0,33:17.0,00:25.4,00:32.8,00:41.7,LGRA,,,AD,235.0,Location 2,Free Practice 1
11,1,15,108,0,B,27.526,0,34.123,0,47.518,0,111.5,35:06.1,35:06.1,00:27.5,00:34.1,00:47.5,LGRA,,,AD,,Location 2,Free Practice 1
11,1,16,102,0,,06:04.7,0,35.334,0,54.031,0,26.8,42:40.2,42:40.2,06:04.7,00:35.3,00:54.0,LGRA,05:36.6,,AD,250.0,Location 2,Free Practice 1
11,1,17,95,3,,24.963,2,32.483,2,41.339,3,123.2,44:18.9,44:18.9,00:25.0,00:32.5,00:41.3,LGRA,,,AD,250.0,Location 2,Free Practice 1
