Lap_Number,Lap_Time,Lap_Improvement,S1,S1_Improvement,S2,S2_Improvement,S3,S3_Improvement,Kph,Elapsed,Driver_Name,Pit_Time,Team,Power,Location,Event,Air_Temp,Track_Temp,Humidity,Pressure,Wind_Speed,Wind_Direction,Rain
1,68,0,72.4,0,38.509,0,54.387,0,73.6,165.3,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,81,0,27.004,0,36.045,0,44.677,0,113,273,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,69,0,26.513,0,35.573,0,44.018,0,114.7,379.1,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,115,2,26.337,2,34.743,2,43.282,2,116.6,483.4,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,93,0,29.036,0,40.546,0,51.842,0,100.2,604.9,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
6,112,0,49.813,0,82.6,0,86.9,0,55.5,824.2,EMORT,6.733333333,ROKo,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
1,114,0,54.776,0,42.41,0,55.797,0,79.5,153,SVANDOO,3.833333333,Ml,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,100,2,25.197,2,32.605,3,42.098,2,121.8,252.9,SVANDOO,3.833333333,Ml,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,84,0,34.31,0,39.865,0,51.36,0,96.9,378.4,SVANDOO,3.833333333,Ml,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,156,0,26.366,0,34.156,0,42.992,0,117.5,481.9,SVANDOO,3.833333333,Ml,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,89,0,26.431,0,34.063,0,42.986,0,117.6,585.4,SVANDOO,3.833333333,Ml,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,143,-1
6,92,0,26.486,0,72.3,0,86.3,0,65.7,770.5,SVANDOO,3.833333333,Ml,250,Location 2,Free Practice 2,15.0556,18.8,60,1018.15,4.24374,142,-1
1,71,0,97.1,0,37.607,0,49.919,0,65.9,184.6,NL,13.3,DRAGONÃ,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.08,2.12187,163,-1
2,83,2,25.378,2,32.715,2,41.868,2,121.7,284.6,NL,13.3,DRAGONÃ,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,105,0,26.526,0,34.584,0,47.847,0,111.7,393.5,NL,13.3,DRAGONÃ,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,87,0,26.642,0,34.251,0,44.425,0,115.5,498.8,NL,13.3,DRAGONÃ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,74,0,26.757,0,34.143,0,51.422,0,108.3,611.2,NL,13.3,DRAGONÃ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
1,74,0,87.5,0,37.47,0,52.594,0,68.5,177.6,SM,9.533333333,DRAGONo,235,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,89,2,25.102,2,34.359,2,42.463,2,119.4,279.5,SM,9.533333333,DRAGONo,235,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,113,0,27.69,0,34.514,0,44.288,0,114.3,386,SM,9.533333333,DRAGONo,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,95,0,36.833,0,35.367,0,44.446,0,104.3,502.6,SM,9.533333333,DRAGONo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,96,0,26.928,0,34.422,0,44.154,0,115.3,608.1,SM,9.533333333,DRAGONo,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
6,68,0,51.988,0,82.9,0,89.4,0,54.2,832.4,SM,9.533333333,DRAGONo,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
1,108,0,77,0,40.602,0,52.923,0,71.4,170.5,NN,8.6,ROK ,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,70,0,26.354,0,38.472,0,45.154,0,110.6,280.5,NN,8.6,ROK ,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,100,0,27.315,0,35.671,0,56.431,0,101.9,399.9,NN,8.6,ROK ,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,90,2,26.173,2,33.681,2,43.423,2,117.8,503.2,NN,8.6,ROK ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,109,0,38.399,0,41.42,0,57.022,0,88.9,640,NN,8.6,ROK ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
1,109,0,71.5,0,40.312,0,56.205,0,72.4,168,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,147,0,27.113,0,35.777,0,46.182,0,111.6,277,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,73,0,26.837,0,34.426,0,43.261,0,116.4,381.6,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,71,0,33.196,0,37.643,0,45.821,0,104.3,498.2,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,88,2,26.446,2,33.711,2,42.449,2,118.6,600.8,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
6,102,0,43.267,0,82.6,0,86.2,0,57.4,812.9,AL,6.416666666,MAHINDRAd,250,Location 2,Free Practice 2,15.0556,18.9,60,1018.25,1.06093,140,-1
1,88,0,94.3,0,36.649,0,47.722,0,68.1,178.7,PWEHRL,10.13333333,TAG ,250,Location 2,Free Practice 2,15.0556,18.5,60,1018.12,2.12187,157,-1
2,97,0,28.179,0,37.287,0,45.969,0,109.2,290.1,PWEHRL,10.13333333,TAG ,235,Location 2,Free Practice 2,15.1111,18.5,60,1018.15,3.1828,149,-1
3,94,2,25.051,3,32.737,2,42.742,2,121,390.7,PWEHRL,10.13333333,TAG ,235,Location 2,Free Practice 2,15.1111,18.6,60,1018.25,6.3656,173,-1
4,102,0,28.819,0,38.482,0,52.421,0,101.6,510.4,PWEHRL,10.13333333,TAG ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.25,4.24374,161,-1
5,77,0,26.373,0,34.399,0,45.036,0,115,616.2,PWEHRL,10.13333333,TAG ,250,Location 2,Free Practice 2,15.0556,18.7,60,1018.22,3.1828,148,-1
6,96,0,73.2,0,83.5,0,92.7,0,48.8,865.6,PWEHRL,10.13333333,TAG ,250,Location 2,Free Practice 2,15.0556,19,60,1018.22,6.3656,160,-1
1,99,0,147.9,0,35.128,0,52.901,0,51.6,236,SB,59.7,JR,250,Location 2,Qualifying Group 1,15.1111,19.9,63,1017.98,4.24374,163,-1
2,68,2,24.974,2,32.717,2,41.752,2,122.4,335.4,SB,59.7,JR,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,77,0,144.9,0,37.023,0,50.36,0,52.4,232.2,ACO,56.5,DSo,250,Location 2,Qualifying Group 1,15.1111,19.9,63,1017.98,4.24374,163,-1
2,86,2,25.023,2,32.296,4,42.76,2,121.6,332.3,ACO,56.5,DSo,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,84,0,141.1,0,37.22,0,46.851,0,54,225.2,NVR,55.65,ME,250,Location 2,Qualifying Group 1,15.1111,19.9,63,1017.98,4.24374,163,-1
2,125,2,24.921,2,32.603,2,41.638,2,122.7,324.4,NVR,55.65,ME,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,130,0,145.2,0,37.102,0,48.215,0,52.8,230.5,MEV,57.75,JE,250,Location 2,Qualifying Group 1,15.1111,19.9,63,1017.98,4.24374,163,-1
2,92,2,25.242,2,32.802,2,41.61,4,122.1,330.2,MEV,57.75,JE,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,88,0,34.597,0,37.034,0,45.265,0,104.1,116.9,RFRI,1.466666666,EF,250,Location 2,Qualifying Group 1,15.1111,19.9,62,1018.19,3.1828,105,-1
2,73,0,29.005,0,36.885,0,51.52,0,103.6,234.3,RFRI,1.466666666,EF,250,Location 2,Qualifying Group 1,15.1111,19.9,63,1017.98,4.24374,163,-1
3,88,4,24.785,4,32.498,2,41.798,2,122.8,333.4,RFRI,1.466666666,EF,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,108,0,170,0,37.207,2,54.164,0,46.6,261.4,EMORT,140.2,ROKo,250,Location 2,Qualifying Group 1,13.96031429,16.38571429,68.85714286,1015.824286,2.879678571,149.8571429,-1
1,146,0,64.7,0,41.153,0,49.798,0,78.2,155.7,SB,36.04444444,JR,250,Location 2,Free Practice 1,9.83333,11.2,68,1017.61,1.06093,84,-1
2,71,0,28.125,0,35.862,0,52.616,0,104.4,272.3,SB,36.04444444,JR,250,Location 2,Free Practice 1,9.94445,11.2,67,1017.61,0,84,-1
3,92,0,53.661,0,37.201,0,46.38,0,88.7,409.5,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.0556,11.3,67,1017.64,0,84,-1
4,103,0,26.989,0,34.77,0,44.201,0,114.8,515.5,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.1111,11.3,67,1017.61,0,84,-1
5,116,0,26.748,0,34.676,0,45.539,0,113.8,622.4,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.2222,11.4,67,1017.61,0,84,-1
6,83,0,26.878,0,34.364,0,43.475,0,116.2,727.1,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.3333,11.5,66,1017.68,0,84,-1
7,92,0,37.224,0,41.317,0,56.497,0,90.1,862.2,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.4444,11.6,66,1017.61,1.06093,83,-1
8,74,0,26.15,0,38.146,0,58.823,0,98.8,985.3,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.5,11.8,65,1017.61,1.06093,71,-1
9,122,0,25.883,0,33.711,0,42.525,0,119.2,1087.4,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.5556,11.9,65,1017.71,1.06093,71,-1
10,102,0,33.052,0,46.144,0,58.862,0,88.1,1225.5,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.5556,12,65,1017.75,0,71,-1
11,87,0,25.77,0,33.631,0,42.296,0,119.6,1327.2,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.6111,12.1,65,1017.71,0,71,-1
12,68,0,26.73,0,34.226,0,47.631,0,112.1,1435.8,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.6111,12.1,65,1017.71,0,71,-1
13,134,0,443.6,0,36.819,0,45.402,0,23.1,1961.6,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.8889,12.5,65,1017.58,0,71,-1
14,90,0,27.374,0,35.529,0,47.4,0,110.3,2071.9,SB,36.04444444,JR,235,Location 2,Free Practice 1,10.9444,12.6,65,1017.64,0,71,-1
15,147,0,25.006,0,49.064,0,87.7,0,75.2,2233.7,SB,36.04444444,JR,235,Location 2,Free Practice 1,11,12.6,65,1017.58,0,71,-1
16,86,0,233,0,35.054,0,44.718,0,38.9,2546.5,SB,36.04444444,JR,250,Location 2,Free Practice 1,11.1111,12.8,65,1017.47,0,71,-1
17,121,2,24.76,2,32.773,2,41.737,2,122.6,2645.8,SB,36.04444444,JR,250,Location 2,Free Practice 1,11.1667,12.9,65,1017.58,0,71,-1
18,120,0,35.425,0,48.441,0,44.138,0,95.1,2773.8,SB,36.04444444,JR,250,Location 2,Free Practice 1,10.57011048,12.02857143,65.66666667,1017.621667,0.202082381,75.57142857,-1
1,101,0,62.5,0,41.635,0,50.392,0,78.7,154.6,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,9.83333,11.2,68,1017.61,1.06093,84,-1
2,71,0,28.002,0,36.32,0,52.071,0,104.5,271,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,9.94445,11.2,67,1017.61,0,84,-1
3,76,0,54.282,0,36.227,0,47.551,0,88.1,409,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.0556,11.3,67,1017.64,0,84,-1
4,85,0,27.013,0,34.875,0,44.095,0,114.8,515,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.1111,11.3,67,1017.61,0,84,-1
5,89,0,26.879,0,34.572,0,43.625,0,115.8,620.1,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.2222,11.4,67,1017.61,0,84,-1
6,101,0,26.714,0,34.919,0,44.243,0,114.9,726,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.3333,11.5,66,1017.68,0,84,-1
7,74,0,32.381,0,37.18,0,47.458,0,104,843,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.4444,11.6,66,1017.61,1.06093,83,-1
8,98,0,26.86,0,34.771,0,54.937,0,104.4,959.6,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.5,11.8,65,1017.68,2.12187,83,-1
9,123,0,26.29,0,33.954,0,42.901,0,118,1062.7,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.5556,11.9,65,1017.58,0,71,-1
10,73,0,26.21,0,33.851,0,42.674,0,118.4,1165.4,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.5556,12,65,1017.71,0,71,-1
11,149,0,26.519,0,34.141,0,53.237,0,106.8,1279.3,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.57011048,12.02857143,65.66666667,1017.621667,0.202082381,75.57142857,-1
12,188,0,429.8,0,34.665,0,43.988,0,23.9,1787.8,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.7778,12.4,65,1017.71,0,71,-1
13,100,0,26.295,0,33.956,0,48.986,0,111.4,1897.1,LGRA,42.49444444,AD,235,Location 2,Free Practice 1,10.8333,12.5,65,1017.58,0,71,-1
14,94,0,25.412,0,32.752,0,41.738,0,121.8,1997,LGRA,42.49444444,AD,235,Location 2,Free Practice 1,10.8889,12.6,65,1017.68,0,71,-1
15,108,0,27.526,0,34.123,0,47.518,0,111.5,2106.1,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.9444,12.6,65,1017.51,0,71,-1
16,102,0,364.7,0,35.334,0,54.031,0,26.8,2560.2,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,11.1111,12.8,65,1017.47,0,71,-1
17,95,3,24.963,2,32.483,2,41.339,3,123.2,2658.9,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,11.1667,12.9,65,1017.58,0,71,-1
18,86,0,26.926,0,33.957,0,46.175,0,113.7,2766,LGRA,42.49444444,AD,250,Location 2,Free Practice 1,10.57011048,12.02857143,65.66666667,1017.621667,0.202082381,75.57142857,-1
1,95,0,48.508,0,40.408,0,47.53,0,89.2,136.4,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,9.83333,11.2,68,1017.61,1.06093,84,-1
2,129,0,28.198,0,36.419,0,45.158,0,110.8,246.2,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,9.94445,11.2,67,1017.61,0,84,-1
3,98,0,54.317,0,44.766,0,44.434,0,84.8,389.7,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,10.0556,11.3,67,1017.64,0,84,-1
4,108,0,27.415,0,35.058,0,43.854,0,114.4,496.1,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,10.1111,11.3,67,1017.61,0,84,-1
5,89,0,26.635,0,35.483,0,43.424,0,115.3,601.6,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,10.2222,11.4,67,1017.61,0,84,-1
6,69,0,33.513,0,39.032,0,44.684,0,103.8,718.8,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,10.2778,11.5,67,1017.64,0,84,-1
7,110,0,26.543,0,34.076,0,43.191,0,117.2,822.6,ACO,22.26315789,DSo,250,Location 2,Free Practice 1,10.3889,11.6,66,1017.61,2.12187,83,-1
